Timestamp,Input Text,Prediction,Sentiment,Literal Meaning
2025-07-10 19:41,Wow! ,Sarcastic 😏,neutral,This might mean the opposite of what is said.
2025-07-10 19:41,Wow! My phone has stopped working,Not Sarcastic ✅,neutral,This might mean the opposite of what is said.
2025-07-10 19:41,Wow! My phone has stopped working,Not Sarcastic ✅,neutral,This might mean the opposite of what is said.
2025-07-10 19:42,Wow!! I love to be in hell,Not Sarcastic ✅,positive,This might mean the opposite of what is said.
2025-07-10 19:43,Wow!! My phone has died,Sarcastic 😏,neutral,This might mean the opposite of what is said.
2025-07-10 19:48,I love to play with my friends,Not Sarcastic ✅,positive,This might mean the opposite of what is said.
2025-07-10 20:59,"Wow!!I love to be in hell,sarcastic,negative",Sarcastic 😏,positive,This might mean the opposite of what is said.
2025-07-10 20:59,"Wow!!I love to be in hell,sarcastic",Sarcastic 😏,positive,This might mean the opposite of what is said.
2025-07-10 20:59,"Wow!!I love to be in hell,sarcastic",Sarcastic 😏,positive,This might mean the opposite of what is said.
2025-07-10 21:00,"Wow!!I love to be in hell,sarcastic",Not Sarcastic ✅,positive,This might mean the opposite of what is said.
